MOVIE_TITLE;RELEASE_YEAR;TOMATOMETER_STATUS;RATING_TOMATOMETER;RATING_AUDIENCE;FRESH_CRITICS_COUNT;ROTTEN_CRITICS_COUNT;CRITICS_COUNT;TOP_CRITICS_COUNT
Percy Jackson & the Olympians: The Lightning Thief;2010;Rotten;49;53;73;76;149;43
Please Give;2010;Certified-Fresh;87;64;123;19;142;44
10;1979;Fresh;67;53;16;8;24;2
12 Angry Men (Twelve Angry Men);1957;Certified-Fresh;100;97;54;0;54;6
20,000 Leagues Under The Sea;1954;Fresh;89;74;24;3;27;5
10,000 B.C.;2008;Rotten;8;37;12;137;149;37
The 39 Steps;1935;Certified-Fresh;96;86;49;2;51;8
3:10 to Yuma;1957;Fresh;96;79;27;1;28;6
Charly (A Heartbeat Away);2002;Rotten;20;87;2;8;10;0
Abraham Lincoln;1930;Fresh;82;40;9;2;11;4
Dark Water;2002;Fresh;80;66;12;3;15;3
The Accused;1988;Fresh;91;79;20;2;22;1
The Lost City;2005;Rotten;25;64;21;62;83;37
The Breaking Point;1950;Fresh;100;86;10;0;10;1
Adam's Rib;1949;Fresh;96;86;27;1;28;6
The Bridge of San Luis Rey;2005;Rotten;4;35;1;23;24;13
The Prowler (Cost of Living );1951;Fresh;100;86;18;0;18;6
Criminal;2004;Fresh;69;57;85;39;124;35
The Adventures of Mark Twain;1985;Fresh;80;82;4;1;5;1
Deep Blue;2005;Fresh;67;80;35;17;52;18
The Adventures of Robin Hood;1938;Certified-Fresh;100;89;48;0;48;8
Man Hunt;1941;Fresh;92;75;11;1;12;0
Dead End;2003;Fresh;75;60;6;2;8;1
Bandwagon;1997;Fresh;80;91;4;1;5;1
Whore;2004;Rotten;0;63;0;6;6;4
Tristan & Isolde;2006;Rotten;31;71;38;83;121;36
Wild Side;2005;Fresh;63;80;10;6;16;4
A Tale of Two Pizzas;2003;Rotten;38;;3;5;8;5
Running Scared;2006;Rotten;41;79;54;77;131;39
Going the Distance;2004;Rotten;0;61;0;5;5;2
Ultraviolet;2006;Rotten;8;30;7;76;83;21
Home of the Brave;2004;Fresh;93;48;14;1;15;7
Arthur and the Invisibles;2007;Rotten;22;56;20;72;92;30
Malevolence;2004;Rotten;33;83;6;12;18;4
Eternal;2004;Rotten;21;39;7;27;34;10
A Farewell To Arms;1957;Rotten;0;37;0;12;12;6
The Narrow Margin;1952;Fresh;100;88;11;0;11;0
The Matador;2006;Certified-Fresh;75;65;117;39;156;39
Smile;2005;Rotten;15;66;2;11;13;6
The Intruder (L'Intrus);2005;Fresh;87;73;26;4;30;10
Saint Ralph;2005;Fresh;64;85;44;25;69;26
The Baxter;2005;Rotten;32;75;24;51;75;25
Oliver Twist;2005;Fresh;61;63;87;56;143;39
The Alamo;1960;Rotten;52;63;11;10;21;4
G;2005;Rotten;24;60;7;22;29;17
Alexander the Great;1956;Rotten;0;42;0;8;8;1
Alfie;1966;Fresh;96;76;26;1;27;6
Neverwas;2005;Rotten;14;65;1;6;7;1
The Second Chance;2006;Rotten;44;78;7;9;16;8
Moonlight;2003;Fresh;60;67;6;4;10;6
Aliens;1986;Certified-Fresh;97;94;74;2;76;17
Rise: Blood Hunter;2007;Rotten;36;20;5;9;14;2
All About Eve;1950;Certified-Fresh;99;94;76;1;77;22
When Do We Eat?;2006;Rotten;42;68;16;22;38;19
The Mostly Unfabulous Social Life of Ethan Green;2006;Rotten;30;58;8;19;27;13
Dirty;2006;Rotten;21;42;6;22;28;10
Stay Alive;2006;Rotten;10;55;6;53;59;18
All of Me;1984;Certified-Fresh;85;67;35;6;41;10
All Quiet on the Western Front;1900;Fresh;100;69;5;0;5;0
Dreamland;2006;Fresh;67;65;10;5;15;5
Independent Lens;2006;Certified-Fresh;84;84;42;8;50;22
All the King's Men;1949;Certified-Fresh;95;78;40;2;42;9
Street Fight;2005;Fresh;100;93;22;0;22;11
Lost Horizon;1973;Rotten;20;45;1;4;5;2
The Motel;2005;Fresh;88;64;28;4;32;14
Once in a Lifetime: The Extraordinary Story of the New York Cosmos;2006;Certified-Fresh;81;80;48;11;59;22
Requiem;2006;Fresh;86;66;31;5;36;17
Gui si (Silk);2006;Rotten;40;57;2;3;5;2
Park;2006;Rotten;36;48;4;7;11;6
The 4th Dimension;2006;Fresh;63;31;5;3;8;2
Bon Cop, Bad Cop;2006;Fresh;78;82;7;2;9;2
Amazing Grace;2007;Fresh;67;85;85;41;126;37
The Silence;1900;Rotten;50;38;3;3;6;4
Cocaine Cowboys;2006;Fresh;69;79;35;16;51;25
Gone;2007;Rotten;54;20;7;6;13;4
The Situation;2006;Rotten;35;58;17;31;48;25
Snow Blind;2006;Rotten;20;;1;4;5;4
Four Sheets to the Wind;2007;Fresh;100;61;7;0;7;2
The Tiger's Tail;2006;Rotten;14;30;3;18;21;5
It's a Boy Girl Thing;2006;Fresh;67;61;6;3;9;0
Slipstream;2007;Rotten;25;29;10;30;40;14
