MOVIE_TITLE;RELEASE_YEAR;RATING_AVG;RATING_CRITICS;RATING_AUDIENCE;VOTES_COUNT
Bugs Bunny's Third Movie: 1001 Rabbit Tales;1982;7,7;8;7;21
18 anni tra una settimana;1991;6,5;6;7;4
Ride a Wild Pony;1976;5,6;6;5;9
Diner;1982;7;8;6;18
A che servono questi quattrini?;1942;5,9;5,33;7;14
A ciascuno il suo;1967;7,7;7,75;8;119
Dead-Bang;1989;6;6;6;18
A... come assassino;1966;5,5;3;8;4
At Close Range;1986;7,4;7,64;7;85
A Ghentar si muore facile;1968;4,8;4,5;5;3
Sleeping with the Enemy;1990;5,1;4,5;6;103
In Bed With Madonna;1990;5,3;4;7;18
Bowery at Midnight;1942;5,3;5;6;25
A mezzanotte va la ronda del piacere;1975;5,9;5,78;6;48
Mr. Majestyk;1974;6,2;5,67;7;24
Warning Sign;1985;4,8;4;6;10
About Last Night;1986;5,9;6;6;29
Fail-Safe;1964;8,2;8,29;8;68
Some Like It Hot;1959;9,1;9,38;9;508
A qualsiasi prezzo;1968;3,7;4;3;7
Johnny O'Clock;1947;7,7;8;7;18
Back to School;1986;6,5;7;6;17
Driving Miss Daisy;1989;7;7,05;7;176
Enid Is Sleeping;1989;7;8;6;3
The Appaloosa;1966;6,9;7;7;25
...a tutte le auto della polizia...;1975;5,4;5,14;6;26
You'll Like My Mother;1973;7,8;8;8;5
Abbasso la miseria!;1945;6;6;6;28
Abbasso la ricchezza!;1946;5,6;5,17;6;27
Charlie Muffin;1979;6,2;6;6;12
Abbronzatissimi;1991;3,2;3;3;78
The Deep;1977;5,2;4,71;6;28
Abe Lincoln in Illinois;1940;6,3;6;7;12
Absolute Beginners;1986;6,3;6,8;6;29
The Abyss;1989;7,2;7,26;7;173
Acapulco, prima spiaggia... a sinistra;1983;4,3;3;6;76
Accadde a Damasco;1943;3,5;3;4;3
Accadde al penitenziario;1955;5,5;5,14;6;45
It Happened Tomorrow;1944;7,6;8;7;49
Made in Heaven;1987;5,6;6,33;5;18
September Affair;1950;6,7;8;5;9
It Happened One Night;1934;8,5;8,63;8;163
Accattone;1961;8,4;8,81;8;270
Arret sur image;1987;4,5;4;5;4
Achtung! Banditi!;1951;7;6,92;7;51
Water;1985;6,9;8;6;5
Acque di primavera;1942;5,6;4,2;7;8
Action Jackson;1988;5,1;5;5;30
Mail Order Bride;1963;6,2;6;6;14
Ad Ovest di Paperino;1982;6,2;6,36;6;87
Ada;1961;6,3;6;7;4
Adamo ed Eva;1949;5;4;6;8
Adam and Evelyne;1949;6,7;6,33;7;10
Farewell to the King;1988;6,8;6,5;7;38
A Farewell to Arms;1932;6,9;7,2;7;16
Addio giovinezza!;1940;6,4;6,2;7;16
Goodbye, My Lady;1956;6;6;6;3
Goodbye Mr. Chips!;1939;7,3;7,57;7;22
The Browning Version;1951;8,4;8,17;9;22
Addio, Napoli!;1954;2;3;1;3
The Miniver Story;1950;6,7;7;6;9
